FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
1001,872679.179,1094432.99,2001,26.5,10.8,13.87,1.74,0.051,89.3
1003,789777.5039,884557.0795,2001,26.7,11.1,11.01,1.16,0.077,71.48
1005,997210.9974,1033023.763,2001,29.0,24.2,12.96,1.05,0.017,91.17
1007,822862.4715,1141553.577,2001,29.9,18.2,15.26,1.72,0.101,89.38
1009,863725.1736,1255735.164,2001,30.6,13.6,16.17,2.45,0.126,81.7
1011,964066.8275,1055199.419,2001,28.7,32.9,13.02,1.22,0.02,73.78
1013,877731.5725,1007285.71,2001,28.4,21.6,12.61,1.11,0.025,76.38
1015,933856.5711,1239468.533,2001,28.1,16.3,14.39,1.87,0.146,99.25
1017,984214.6861,1148648.711,2001,29.1,16.3,13.15,1.49,0.075,91.99
1019,949215.6474,1286592.363,2001,28.4,16.9,15.19,1.99,0.172,84.22
1021,862209.9831,1128435.63,2001,29.5,16.3,14.49,1.69,0.102,90.06
1023,726606.4744,1023615.755,2001,26.1,19.5,13.34,1.11,0.043,69.04
1025,770408.8693,988910.4968,2001,26.2,20.0,12.85,1.15,0.069,68.75
1027,936619.6404,1183406.326,2001,29.8,15.7,13.86,1.78,0.12,81.11
1029,963188.5886,1231820.526,2001,28.5,16.5,13.67,1.71,0.178,91.32
1031,946787.0873,975094.3328,2001,26.9,15.5,12.47,0.85,0.017,75.13
1033,743789.2745,1325454.106,2001,27.4,14.8,14.14,2.16,0.08,87.15
1035,851719.0504,968600.8416,2001,27.4,23.5,12.05,1.06,0.039,79.6
1037,904809.5675,1142654.543,2001,29.4,15.5,14.14,1.58,0.103,81.17
1039,904857.0021,953605.3385,2001,28.7,18.7,12.01,0.88,0.025,95.37
1041,912418.1539,1008415.674,2001,28.1,19.7,12.57,1.08,0.02,80.1
1043,834706.1576,1269855.848,2001,30.5,14.2,16.52,2.45,0.115,84.18
1045,981951.9843,982254.8233,2001,27.3,16.4,12.88,0.92,0.015,89.68
1047,831746.8892,1067060.135,2001,27.5,25.2,14.12,1.31,0.043,88.46
1049,927594.6994,1316221.413,2001,29.6,16.7,15.5,2.0,0.121,75.94
1051,917880.3462,1105980.039,2001,27.2,13.4,13.8,1.48,0.052,87.15
1053,839009.4497,933580.2072,2001,30.4,19.9,11.75,1.11,0.058,90.55
1055,911548.6958,1267867.342,2001,29.5,17.0,15.83,1.93,0.115,90.24
1057,759213.3557,1216835.014,2001,29.5,16.9,15.84,1.67,0.092,86.53
1059,742765.9875,1296358.466,2001,29.3,18.5,14.44,1.73,0.075,96.64
1061,964463.038,942645.4236,2001,30.5,20.1,12.23,0.8,0.019,84.33
1063,747835.8866,1118587.797,2001,25.9,28.4,14.93,1.79,0.061,76.96
1065,778699.4525,1111106.207,2001,27.3,24.6,14.91,1.83,0.069,81.9
